sample_id,seed,observation_id,x,y,group
sample_1,710,N0001,-2.157,5.015,left_branch
sample_1,710,N0002,-3.282,10.259,left_branch
sample_1,710,N0003,1.925,3.957,right_branch
sample_1,710,N0004,-1.652,2.344,left_branch
sample_1,710,N0005,3.669,15.446,right_branch
sample_1,710,N0006,-3.846,15.895,left_branch
sample_1,710,N0007,3.524,13.304,right_branch
sample_1,710,N0008,-3.261,11.545,left_branch
sample_1,710,N0009,-2.887,9.789,left_branch
sample_1,710,N0010,0.73,0.822,right_branch
sample_1,710,N0011,-3.935,14.892,left_branch
sample_1,710,N0012,-1.391,2.641,left_branch
sample_1,710,N0013,0.282,-0.164,right_branch
sample_1,710,N0014,0.203,-0.39,right_branch
sample_1,710,N0015,1.382,1.223,right_branch
sample_1,710,N0016,-3.925,15.73,left_branch
sample_1,710,N0017,-0.424,-0.838,left_branch
sample_1,710,N0018,-3.198,10.454,left_branch
sample_1,710,N0019,-3.274,11.859,left_branch
sample_1,710,N0020,0.25,0.473,right_branch
sample_1,710,N0021,-3.006,9.084,left_branch
sample_1,710,N0022,-2.631,5.789,left_branch
sample_1,710,N0023,0.941,0.773,right_branch
sample_1,710,N0024,-3.995,14.502,left_branch
sample_1,710,N0025,0.069,2.09,right_branch
sample_1,710,N0026,0.977,1.787,right_branch
sample_1,710,N0027,-3.75,11.874,left_branch
sample_1,710,N0028,-3.371,12.1,left_branch
sample_1,710,N0029,-1.499,2.728,left_branch
sample_1,710,N0030,-2.084,6.442,left_branch
sample_1,710,N0031,-0.658,1.877,left_branch
sample_1,710,N0032,-2.084,6.251,left_branch
sample_1,710,N0033,2.411,4.818,right_branch
sample_1,710,N0034,-1.876,3.951,left_branch
sample_1,710,N0035,-3.972,16.434,left_branch
sample_1,710,N0036,1.842,3.022,right_branch
sample_1,710,N0037,-2.433,6.714,left_branch
sample_1,710,N0038,3.237,10.782,right_branch
sample_1,710,N0039,-2.849,8.805,left_branch
sample_1,710,N0040,-3.81,14.455,left_branch
sample_1,710,N0041,-2.475,3.309,left_branch
sample_1,710,N0042,1.854,4.49,right_branch
sample_1,710,N0043,3.646,13.518,right_branch
sample_1,710,N0044,2.585,6.922,right_branch
sample_1,710,N0045,-3.88,14.276,left_branch
sample_1,710,N0046,-1.568,2.623,left_branch
sample_1,710,N0047,2.161,5.45,right_branch
sample_1,710,N0048,0.272,1.81,right_branch
sample_1,710,N0049,-3.061,8.261,left_branch
sample_1,710,N0050,3.136,9.437,right_branch
sample_1,710,N0051,-2.724,6.961,left_branch
sample_1,710,N0052,-1.302,1.336,left_branch
sample_1,710,N0053,2.305,6.336,right_branch
sample_1,710,N0054,-0.571,0.526,left_branch
sample_1,710,N0055,-0.741,0.645,left_branch
sample_1,710,N0056,3.389,9.408,right_branch
sample_1,710,N0057,1.29,0.821,right_branch
sample_1,710,N0058,3.952,15.396,right_branch
sample_1,710,N0059,0.722,0.718,right_branch
sample_1,710,N0060,0.78,1.57,right_branch
sample_1,710,N0061,1.185,1.61,right_branch
sample_1,710,N0062,3.832,17.163,right_branch
sample_1,710,N0063,1.83,2.125,right_branch
sample_1,710,N0064,-3.49,12.384,left_branch
sample_1,710,N0065,2.331,5.65,right_branch
sample_1,710,N0066,3.842,15.667,right_branch
sample_1,710,N0067,2.986,7.237,right_branch
sample_1,710,N0068,-2.891,8.452,left_branch
sample_1,710,N0069,0.306,1.785,right_branch
sample_1,710,N0070,3.783,12.722,right_branch
sample_1,710,N0071,1.856,3.1,right_branch
sample_1,710,N0072,3.964,14.921,right_branch
sample_1,710,N0073,2.465,5.87,right_branch
sample_1,710,N0074,3.343,11.267,right_branch
sample_1,710,N0075,-2.707,7.164,left_branch
sample_1,710,N0076,-0.298,1.27,left_branch
sample_1,710,N0077,0.423,0.595,right_branch
sample_1,710,N0078,-0.667,2.49,left_branch
sample_1,710,N0079,3.732,14.812,right_branch
sample_1,710,N0080,3.894,15.677,right_branch
sample_1,710,N0081,3.343,11.977,right_branch
sample_1,710,N0082,3.079,10.538,right_branch
sample_1,710,N0083,-2.342,6.117,left_branch
sample_1,710,N0084,1.562,1.942,right_branch
sample_1,710,N0085,2.374,7.148,right_branch
sample_1,710,N0086,-2.625,6.405,left_branch
sample_1,710,N0087,-1.001,0.583,left_branch
sample_1,710,N0088,-2.483,4.917,left_branch
sample_1,710,N0089,2.158,5.997,right_branch
sample_1,710,N0090,-0.237,-2.163,left_branch
sample_1,710,N0091,2.849,5.467,right_branch
sample_1,710,N0092,3.425,12.87,right_branch
sample_1,710,N0093,-3.464,13.588,left_branch
sample_1,710,N0094,3.765,15.227,right_branch
sample_1,710,N0095,-2.197,6.972,left_branch
sample_1,710,N0096,-2.695,6.299,left_branch
sample_1,710,N0097,-3.654,14.27,left_branch
sample_1,710,N0098,-0.126,-0.046,left_branch
sample_1,710,N0099,-0.23,-2.096,left_branch
sample_1,710,N0100,2.173,7.142,right_branch
sample_1,710,N0101,3.794,16.226,right_branch
sample_1,710,N0102,3.983,17.092,right_branch
sample_1,710,N0103,-2.16,5.688,left_branch
sample_1,710,N0104,-0.165,0.999,left_branch
sample_1,710,N0105,1.142,1.533,right_branch
sample_1,710,N0106,-0.52,1.03,left_branch
sample_1,710,N0107,-3.117,7.831,left_branch
sample_1,710,N0108,3.991,16.422,right_branch
sample_1,710,N0109,2.805,5.023,right_branch
sample_1,710,N0110,3.035,9.377,right_branch
sample_1,710,N0111,3.559,12.505,right_branch
sample_1,710,N0112,-2.196,5.38,left_branch
sample_1,710,N0113,-3.011,7.908,left_branch
sample_1,710,N0114,3.974,14.752,right_branch
sample_1,710,N0115,0.324,-0.206,right_branch
sample_1,710,N0116,-2.563,6.734,left_branch
sample_1,710,N0117,-3.972,15.146,left_branch
sample_1,710,N0118,0.884,-0.488,right_branch
sample_1,710,N0119,0.105,-0.886,right_branch
sample_1,710,N0120,-2.101,4.949,left_branch
sample_1,710,N0121,3.882,14.861,right_branch
sample_1,710,N0122,-2.276,4.015,left_branch
sample_1,710,N0123,-2.786,7.905,left_branch
sample_1,710,N0124,-2.305,5.093,left_branch
sample_1,710,N0125,1.327,1.354,right_branch
sample_1,710,N0126,-2.337,5.925,left_branch
sample_1,710,N0127,-1.923,3.733,left_branch
sample_1,710,N0128,-1.13,0.748,left_branch
sample_1,710,N0129,0.692,1.681,right_branch
sample_1,710,N0130,3.87,16.193,right_branch
sample_1,710,N0131,2.534,7.337,right_branch
sample_1,710,N0132,2.588,4.382,right_branch
sample_1,710,N0133,2.088,6.769,right_branch
sample_1,710,N0134,1.819,3.707,right_branch
sample_1,710,N0135,3.038,10.373,right_branch
sample_1,710,N0136,3.173,7.73,right_branch
sample_1,710,N0137,-3.959,16.804,left_branch
sample_1,710,N0138,-2.333,7.86,left_branch
sample_1,710,N0139,-0.569,0.877,left_branch
sample_1,710,N0140,2.826,8.136,right_branch
sample_1,710,N0141,-3.048,10.173,left_branch
sample_1,710,N0142,0.108,-1.856,right_branch
sample_1,710,N0143,-1.418,2.529,left_branch
sample_1,710,N0144,-2.21,5.242,left_branch
sample_1,710,N0145,-2.924,8.38,left_branch
sample_1,710,N0146,-0.591,2.183,left_branch
sample_1,710,N0147,-0.386,-1.301,left_branch
sample_1,710,N0148,-0.22,0.558,left_branch
sample_1,710,N0149,-2.18,6.222,left_branch
sample_1,710,N0150,1.946,3.552,right_branch
sample_1,710,N0151,-1.352,1.454,left_branch
sample_1,710,N0152,-1.074,-0.615,left_branch
sample_1,710,N0153,-3.785,13.956,left_branch
sample_1,710,N0154,0.304,-1.016,right_branch
sample_1,710,N0155,2.987,9.593,right_branch
sample_1,710,N0156,-3.005,6.894,left_branch
sample_1,710,N0157,-1.073,4.291,left_branch
sample_1,710,N0158,1.41,3.437,right_branch
sample_1,710,N0159,-1.899,4.159,left_branch
sample_1,710,N0160,1.053,0.975,right_branch
sample_1,710,N0161,2.426,4.83,right_branch
sample_1,710,N0162,-0.174,-1.775,left_branch
sample_1,710,N0163,-3.322,12.895,left_branch
sample_1,710,N0164,2.717,5.406,right_branch
sample_1,710,N0165,3.095,9.378,right_branch
sample_1,710,N0166,0.535,1.478,right_branch
sample_1,710,N0167,1.67,4.494,right_branch
sample_1,710,N0168,-2.472,7.173,left_branch
sample_1,710,N0169,-1.154,0.331,left_branch
sample_1,710,N0170,3.873,13.564,right_branch
sample_1,710,N0171,1.446,1.196,right_branch
sample_1,710,N0172,1.973,4.788,right_branch
sample_1,710,N0173,1.585,2.923,right_branch
sample_1,710,N0174,2.636,7.236,right_branch
sample_1,710,N0175,-3.045,10.676,left_branch
sample_1,710,N0176,0.637,-0.025,right_branch
sample_1,710,N0177,2.679,9.045,right_branch
sample_1,710,N0178,-3.226,9.633,left_branch
sample_1,710,N0179,-1.973,3.221,left_branch
sample_1,710,N0180,1.424,1.21,right_branch
sample_1,710,N0181,-0.702,0.674,left_branch
sample_1,710,N0182,3.623,15.079,right_branch
sample_1,710,N0183,-3.504,13.699,left_branch
sample_1,710,N0184,-1.609,2.216,left_branch
sample_1,710,N0185,1.677,3.137,right_branch
sample_1,710,N0186,-1.192,0.417,left_branch
sample_1,710,N0187,3.143,12.761,right_branch
sample_1,710,N0188,2.262,4.064,right_branch
sample_1,710,N0189,0.583,2.525,right_branch
sample_1,710,N0190,1.421,1.434,right_branch
sample_1,710,N0191,-0.816,-1.182,left_branch
sample_1,710,N0192,-3.831,13.823,left_branch
sample_1,710,N0193,-2.775,7.314,left_branch
sample_1,710,N0194,1.928,5.351,right_branch
sample_1,710,N0195,2.823,8.626,right_branch
sample_1,710,N0196,3.632,10.974,right_branch
sample_1,710,N0197,-1.01,-0.86,left_branch
sample_1,710,N0198,-1.782,3.351,left_branch
sample_1,710,N0199,0.78,1.331,right_branch
sample_1,710,N0200,2.221,4.362,right_branch
sample_1,710,N0201,1.107,0.378,right_branch
sample_1,710,N0202,1.384,4.855,right_branch
sample_1,710,N0203,-0.741,0.855,left_branch
sample_1,710,N0204,0.49,1.815,right_branch
sample_1,710,N0205,3.093,9.126,right_branch
sample_1,710,N0206,3.865,13.462,right_branch
